Harga,Kategori,Lokasi,Rating,Skala,Tema,Angka tersewa,Nama event organizer
1200000,Team Building,Bandung,2.0,Besar (300+ orang),Problem Solving,98,Event Organizer AC
1800000,Party,Semarang,4.2,Besar (300+ orang),Celebration,63,Event Organizer B
700000,Competition,Balikpapan,4.0,Sedang (51-300 orang),Challenge,90,Event Organizer AC
3600000,Wedding,Surabaya,3.4,Besar (300+ orang),Romantic,41,Event Organizer B
300000,Sport Event,Palembang,1.0,Kecil (10-50 orang),Endurance,88,Event Organizer N
1050000,Competition,Jakarta,3.1,Besar (300+ orang),Performance,57,Event Organizer AF
200000,Charity,Medan,1.9,Kecil (10-50 orang),Awareness,98,Event Organizer AD
1200000,Wedding,Semarang,4.4,Kecil (10-50 orang),Elegant,83,Event Organizer G
1200000,Team Building,Denpasar,1.5,Besar (300+ orang),Communication,93,Event Organizer AG
1050000,Competition,Surabaya,2.2,Besar (300+ orang),Achievement,64,Event Organizer AG
1050000,Competition,Jakarta,2.9,Besar (300+ orang),Victory,52,Event Organizer AA
800000,Team Building,Palembang,4.5,Sedang (51-300 orang),Engagement,87,Event Organizer X
1000000,Corporate Gathering,Palembang,1.4,Sedang (51-300 orang),Team Building,67,Event Organizer Z
500000,Seminar/Webinar,Jakarta,2.9,Sedang (51-300 orang),Motivational,91,Event Organizer AN
1050000,Competition,Yogyakarta,1.7,Besar (300+ orang),Excellence,2,Event Organizer M
600000,Charity,Surabaya,2.6,Besar (300+ orang),Community,74,Event Organizer W
1200000,Party,Palembang,3.4,Sedang (51-300 orang),Entertainment,1,Event Organizer Y
200000,Charity,Palembang,4.1,Kecil (10-50 orang),Awareness,55,Event Organizer D
1200000,Party,Balikpapan,3.2,Sedang (51-300 orang),Music,53,Event Organizer AF
500000,Seminar/Webinar,Medan,1.0,Sedang (51-300 orang),Innovation,80,Event Organizer AN
500000,Seminar/Webinar,Balikpapan,1.1,Sedang (51-300 orang),Professional,82,Event Organizer L
600000,Charity,Yogyakarta,4.4,Besar (300+ orang),Helping,71,Event Organizer Q
900000,Sport Event,Bandung,1.3,Besar (300+ orang),Sportsmanship,58,Event Organizer A
1200000,Wedding,Denpasar,1.4,Kecil (10-50 orang),Elegant,24,Event Organizer W
1200000,Wedding,Yogyakarta,1.6,Kecil (10-50 orang),Elegant,22,Event Organizer R
2400000,Wedding,Medan,3.0,Sedang (51-300 orang),Romantic,4,Event Organizer T
700000,Competition,Semarang,4.2,Sedang (51-300 orang),Sportsmanship,14,Event Organizer Q
200000,Charity,Balikpapan,2.7,Kecil (10-50 orang),Fundraising,29,Event Organizer B
350000,Competition,Jakarta,3.9,Kecil (10-50 orang),Excellence,58,Event Organizer AG
1050000,Competition,Surabaya,4.9,Besar (300+ orang),Victory,89,Event Organizer AH
600000,Party,Palembang,3.6,Kecil (10-50 orang),Dance,87,Event Organizer AK
750000,Seminar/Webinar,Semarang,1.2,Besar (300+ orang),Motivational,17,Event Organizer N
600000,Sport Event,Bandung,4.4,Sedang (51-300 orang),Teamwork,39,Event Organizer K
1050000,Competition,Denpasar,1.5,Besar (300+ orang),Achievement,5,Event Organizer AL
2400000,Festival,Makassar,1.7,Besar (300+ orang),Celebration,100,Event Organizer AN
200000,Charity,Semarang,1.8,Kecil (10-50 orang),Fundraising,27,Event Organizer AK
1050000,Competition,Surabaya,3.0,Besar (300+ orang),Victory,50,Event Organizer S
400000,Charity,Jakarta,2.3,Sedang (51-300 orang),Helping,52,Event Organizer S
300000,Sport Event,Surabaya,4.4,Kecil (10-50 orang),Adventure,73,Event Organizer I
500000,Seminar/Webinar,Surabaya,2.1,Sedang (51-300 orang),Educational,49,Event Organizer AJ
750000,Seminar/Webinar,Palembang,2.9,Besar (300+ orang),Innovation,31,Event Organizer E
300000,Sport Event,Yogyakarta,1.7,Kecil (10-50 orang),Competition,28,Event Organizer R
750000,Seminar/Webinar,Palembang,4.4,Besar (300+ orang),Motivational,44,Event Organizer V
1000000,Corporate Gathering,Surabaya,4.5,Sedang (51-300 orang),Professionalism,100,Event Organizer AF
1200000,Team Building,Palembang,4.1,Besar (300+ orang),Communication,6,Event Organizer AA
1000000,Corporate Gathering,Yogyakarta,4.3,Sedang (51-300 orang),Leadership,15,Event Organizer AN
350000,Competition,Balikpapan,3.2,Kecil (10-50 orang),Achievement,11,Event Organizer R
500000,Seminar/Webinar,Balikpapan,3.1,Sedang (51-300 orang),Educational,59,Event Organizer R
500000,Corporate Gathering,Denpasar,1.0,Kecil (10-50 orang),Strategy,2,Event Organizer F
350000,Competition,Jakarta,1.8,Kecil (10-50 orang),Performance,76,Event Organizer AA
400000,Team Building,Makassar,1.7,Kecil (10-50 orang),Strategy,21,Event Organizer G
700000,Competition,Palembang,4.6,Sedang (51-300 orang),Sportsmanship,71,Event Organizer Q
1200000,Party,Bandung,1.8,Sedang (51-300 orang),Themed,6,Event Organizer B
600000,Sport Event,Balikpapan,2.3,Sedang (51-300 orang),Endurance,41,Event Organizer Z
500000,Corporate Gathering,Medan,4.9,Kecil (10-50 orang),Innovation,15,Event Organizer Q
2400000,Festival,Palembang,4.5,Besar (300+ orang),Arts,85,Event Organizer W
1200000,Wedding,Palembang,1.8,Kecil (10-50 orang),Traditional,32,Event Organizer X
1000000,Corporate Gathering,Bandung,4.9,Sedang (51-300 orang),Innovation,12,Event Organizer AK
250000,Seminar/Webinar,Semarang,4.9,Kecil (10-50 orang),Educational,42,Event Organizer L
750000,Seminar/Webinar,Denpasar,2.0,Besar (300+ orang),Educational,70,Event Organizer AN
500000,Corporate Gathering,Surabaya,1.1,Kecil (10-50 orang),Team Building,52,Event Organizer E
3600000,Wedding,Bandung,3.9,Besar (300+ orang),Romantic,82,Event Organizer A
2400000,Wedding,Makassar,2.9,Sedang (51-300 orang),Intimate,20,Event Organizer G
400000,Charity,Bandung,3.0,Sedang (51-300 orang),Giving,23,Event Organizer L
400000,Team Building,Medan,2.2,Kecil (10-50 orang),Teamwork,66,Event Organizer AM
1200000,Wedding,Surabaya,1.6,Kecil (10-50 orang),Classic,5,Event Organizer U
600000,Charity,Surabaya,1.7,Besar (300+ orang),Support,69,Event Organizer K
900000,Sport Event,Surabaya,2.0,Besar (300+ orang),Sportsmanship,88,Event Organizer AC
1050000,Competition,Denpasar,3.2,Besar (300+ orang),Performance,69,Event Organizer AD
600000,Sport Event,Medan,1.7,Sedang (51-300 orang),Endurance,4,Event Organizer AA
300000,Sport Event,Medan,3.3,Kecil (10-50 orang),Competition,17,Event Organizer I
2400000,Wedding,Semarang,3.3,Sedang (51-300 orang),Traditional,79,Event Organizer F
1600000,Festival,Jakarta,1.7,Sedang (51-300 orang),Food,65,Event Organizer AC
800000,Festival,Medan,3.0,Kecil (10-50 orang),Arts,29,Event Organizer AA
750000,Seminar/Webinar,Balikpapan,4.6,Besar (300+ orang),Learning,36,Event Organizer O
300000,Sport Event,Palembang,3.6,Kecil (10-50 orang),Teamwork,21,Event Organizer AG
1600000,Festival,Denpasar,3.8,Sedang (51-300 orang),Celebration,71,Event Organizer X
1200000,Team Building,Makassar,3.4,Besar (300+ orang),Engagement,16,Event Organizer AM
600000,Charity,Semarang,1.7,Besar (300+ orang),Community,55,Event Organizer N
600000,Sport Event,Semarang,3.9,Sedang (51-300 orang),Teamwork,50,Event Organizer AG
1200000,Team Building,Jakarta,3.1,Besar (300+ orang),Collaboration,33,Event Organizer G
3600000,Wedding,Bandung,4.8,Besar (300+ orang),Traditional,100,Event Organizer AN
1000000,Corporate Gathering,Surabaya,4.9,Sedang (51-300 orang),Innovation,56,Event Organizer Z
800000,Team Building,Makassar,1.5,Sedang (51-300 orang),Problem Solving,28,Event Organizer H
1050000,Competition,Palembang,2.6,Besar (300+ orang),Challenge,85,Event Organizer S
1200000,Wedding,Semarang,4.0,Kecil (10-50 orang),Romantic,25,Event Organizer AH
1800000,Party,Jakarta,1.1,Besar (300+ orang),Music,32,Event Organizer Q
800000,Festival,Denpasar,1.6,Kecil (10-50 orang),Culture,35,Event Organizer T
3600000,Wedding,Makassar,4.2,Besar (300+ orang),Intimate,22,Event Organizer AI
500000,Seminar/Webinar,Semarang,4.4,Sedang (51-300 orang),Growth,27,Event Organizer AK
350000,Competition,Denpasar,4.2,Kecil (10-50 orang),Performance,4,Event Organizer H
900000,Sport Event,Denpasar,4.9,Besar (300+ orang),Adventure,93,Event Organizer I
1500000,Corporate Gathering,Medan,3.3,Besar (300+ orang),Leadership,56,Event Organizer AG
750000,Seminar/Webinar,Medan,1.0,Besar (300+ orang),Skill Development,92,Event Organizer AC
500000,Seminar/Webinar,Palembang,2.6,Sedang (51-300 orang),Growth,94,Event Organizer AK
600000,Party,Semarang,2.5,Kecil (10-50 orang),Music,1,Event Organizer R
200000,Charity,Makassar,3.4,Kecil (10-50 orang),Volunteering,53,Event Organizer T
800000,Team Building,Balikpapan,3.7,Sedang (51-300 orang),Strategy,47,Event Organizer AH
900000,Sport Event,Semarang,3.3,Besar (300+ orang),Endurance,44,Event Organizer AN
1000000,Corporate Gathering,Surabaya,3.6,Sedang (51-300 orang),Strategy,38,Event Organizer B
1050000,Competition,Yogyakarta,3.5,Besar (300+ orang),Talent,35,Event Organizer L
1500000,Corporate Gathering,Jakarta,2.4,Besar (300+ orang),Leadership,91,Event Organizer AA
400000,Charity,Yogyakarta,2.8,Sedang (51-300 orang),Community,63,Event Organizer K
1800000,Party,Jakarta,2.1,Besar (300+ orang),Celebration,96,Event Organizer AL
350000,Competition,Medan,1.3,Kecil (10-50 orang),Talent,3,Event Organizer K
600000,Charity,Yogyakarta,3.8,Besar (300+ orang),Support,82,Event Organizer R
1200000,Wedding,Palembang,1.8,Kecil (10-50 orang),Modern,35,Event Organizer E
1500000,Corporate Gathering,Palembang,3.6,Besar (300+ orang),Innovation,66,Event Organizer AJ
300000,Sport Event,Denpasar,3.6,Kecil (10-50 orang),Health,72,Event Organizer R
750000,Seminar/Webinar,Surabaya,2.6,Besar (300+ orang),Skill Development,23,Event Organizer AE
3600000,Wedding,Medan,3.9,Besar (300+ orang),Modern,79,Event Organizer P
900000,Sport Event,Semarang,2.3,Besar (300+ orang),Endurance,98,Event Organizer P
1200000,Wedding,Bandung,3.5,Kecil (10-50 orang),Traditional,75,Event Organizer AC
1200000,Team Building,Denpasar,2.8,Besar (300+ orang),Strategy,18,Event Organizer I
1200000,Party,Denpasar,4.0,Sedang (51-300 orang),Fun,15,Event Organizer N
1200000,Wedding,Bandung,1.9,Kecil (10-50 orang),Modern,64,Event Organizer G
400000,Team Building,Jakarta,4.2,Kecil (10-50 orang),Collaboration,97,Event Organizer N
600000,Sport Event,Palembang,4.3,Sedang (51-300 orang),Competition,57,Event Organizer V
1200000,Wedding,Balikpapan,3.8,Kecil (10-50 orang),Romantic,29,Event Organizer Z
1600000,Festival,Makassar,2.5,Sedang (51-300 orang),Culture,30,Event Organizer P
2400000,Wedding,Palembang,3.3,Sedang (51-300 orang),Traditional,58,Event Organizer Q
500000,Seminar/Webinar,Balikpapan,1.4,Sedang (51-300 orang),Professional,11,Event Organizer C
300000,Sport Event,Makassar,2.3,Kecil (10-50 orang),Endurance,75,Event Organizer S
1600000,Festival,Yogyakarta,4.5,Sedang (51-300 orang),Celebration,83,Event Organizer J
300000,Sport Event,Semarang,1.6,Kecil (10-50 orang),Health,70,Event Organizer D
700000,Competition,Yogyakarta,1.3,Sedang (51-300 orang),Victory,39,Event Organizer A
900000,Sport Event,Jakarta,3.1,Besar (300+ orang),Fitness,6,Event Organizer R
1000000,Corporate Gathering,Bandung,1.8,Sedang (51-300 orang),Innovation,82,Event Organizer I
3600000,Wedding,Surabaya,3.7,Besar (300+ orang),Cultural,43,Event Organizer R
3600000,Wedding,Surabaya,2.0,Besar (300+ orang),Elegant,76,Event Organizer L
500000,Seminar/Webinar,Balikpapan,3.8,Sedang (51-300 orang),Learning,67,Event Organizer D
750000,Seminar/Webinar,Semarang,3.2,Besar (300+ orang),Learning,69,Event Organizer AB
